code,name,kana,market,industry,kana
3092,ＺＯＺＯ,ＺＯＺＯ,東証プライム,小売業,ＺＯＺＯ
3093,トレジャー・ファクトリー,トレジャー・ファクトリー,東証プライム,小売業,トレジャー・ファクトリー
3097,物語コーポレーション,モノガタリコーポレーション,東証プライム,小売業,モノガタリコーポレーション
3099,三越伊勢丹ホールディングス,ミツコシイセタンホールディングス,東証プライム,小売業,ミツコシイセタンホールディングス
3101,東洋紡,トウヨウボウ,東証プライム,化学,トウヨウボウ
3103,ユニチカ,ユニチカ,東証プライム,繊維製品,ユニチカ
3104,富士紡ホールディングス,フジボウホールディングス,東証プライム,繊維製品,フジボウホールディングス
3105,日清紡ホールディングス,ニッシンボウホールディングス,東証プライム,電気機器,ニッシンボウホールディングス
3106,倉敷紡績,クラシキボウセキ,東証プライム,繊維製品,クラシキボウセキ
3107,ダイワボウホールディングス,ダイワボウホールディングス,東証プライム,卸売業,ダイワボウホールディングス
3109,シキボウ,シキボウ,東証プライム,繊維製品,シキボウ
3110,日東紡績,ニットウボウセキ,東証プライム,ガラス・土石製品,ニットウボウセキ
3116,トヨタ紡織,トヨタボウショク,東証プライム,輸送用機器,トヨタボウショク
3132,マクニカホールディングス,マクニカホールディングス,東証プライム,卸売業,マクニカホールディングス
3139,ラクト・ジャパン,ラクト・ジャパン,東証プライム,卸売業,ラクト・ジャパン
3148,クリエイトＳＤホールディングス,クリエイトＳＤホールディングス,東証プライム,小売業,クリエイトＳＤホールディングス
3150,グリムス,グリムス,東証プライム,電気・ガス業,グリムス
3151,バイタルケーエスケー・ホールディングス,バイタルケーエスケー・ホールディングス,東証プライム,卸売業,バイタルケーエスケー・ホールディングス
3153,八洲電機,ハッシュウデンキ,東証プライム,卸売業,ハッシュウデンキ
3154,メディアスホールディングス,メディアスホールディングス,東証プライム,卸売業,メディアスホールディングス
3156,レスター,レスター,東証プライム,卸売業,レスター
3167,ＴＯＫＡＩホールディングス,ＴＯＫＡＩホールディングス,東証プライム,卸売業,ＴＯＫＡＩホールディングス
3176,三洋貿易,サンヨウボウエキ,東証プライム,卸売業,サンヨウボウエキ
3179,シュッピン,シュッピン,東証プライム,小売業,シュッピン
3180,ビューティガレージ,ビューティガレージ,東証プライム,卸売業,ビューティガレージ
3182,オイシックス・ラ・大地,オイシックス・ラ・ダイチ,東証プライム,小売業,オイシックス・ラ・ダイチ
3183,ウイン・パートナーズ,ウイン・パートナーズ,東証プライム,卸売業,ウイン・パートナーズ
3186,ネクステージ,ネクステージ,東証プライム,小売業,ネクステージ
3191,ジョイフル本田,ジョイフルホンデン,東証プライム,小売業,ジョイフルホンデン
3193,エターナルホスピタリティグループ,エターナルホスピタリティグループ,東証プライム,小売業,エターナルホスピタリティグループ
3196,ホットランドホールディングス,ホットランドホールディングス,東証プライム,小売業,ホットランドホールディングス
3197,すかいらーくホールディングス,スカイラークホールディングス,東証プライム,小売業,スカイラークホールディングス
3198,ＳＦＰホールディングス,ＳＦＰホールディングス,東証プライム,小売業,ＳＦＰホールディングス
3199,綿半ホールディングス,ワタハンホールディングス,東証プライム,小売業,ワタハンホールディングス
3201,日本毛織,ニホンケオリ,東証プライム,繊維製品,ニホンケオリ
3221,ヨシックスホールディングス,ヨシックスホールディングス,東証プライム,小売業,ヨシックスホールディングス
3231,野村不動産ホールディングス,ノムラフドウサンホールディングス,東証プライム,不動産業,ノムラフドウサンホールディングス
3232,三重交通グループホールディングス,ミエコウツウグループホールディングス,東証プライム,不動産業,ミエコウツウグループホールディングス
3245,ディア・ライフ,ディア・ライフ,東証プライム,不動産業,ディア・ライフ
3252,地主,ジヌシ,東証プライム,不動産業,ジヌシ
3276,ＪＰＭＣ,ＪＰＭＣ,東証プライム,不動産業,ＪＰＭＣ
3284,フージャースホールディングス,フージャースホールディングス,東証プライム,不動産業,フージャースホールディングス
3288,オープンハウスグループ,オープンハウスグループ,東証プライム,不動産業,オープンハウスグループ
3289,東急不動産ホールディングス,トウキュウフドウサンホールディングス,東証プライム,不動産業,トウキュウフドウサンホールディングス
3291,飯田グループホールディングス,イイダグループホールディングス,東証プライム,不動産業,イイダグループホールディングス
3302,帝国繊維,テイコクセンイ,東証プライム,繊維製品,テイコクセンイ
3315,日本コークス工業,ニホンコークスコウギョウ,東証プライム,石油・石炭製品,ニホンコークスコウギョウ
3333,あさひ,アサヒ,東証プライム,小売業,アサヒ
3349,コスモス薬品,コスモスヤクヒン,東証プライム,小売業,コスモスヤクヒン
3360,シップヘルスケアホールディングス,シップヘルスケアホールディングス,東証プライム,卸売業,シップヘルスケアホールディングス
3371,ソフトクリエイトホールディングス,ソフトクリエイトホールディングス,東証プライム,情報・通信業,ソフトクリエイトホールディングス
3382,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,東証プライム,小売業,セブン＆アイ・ホールディングス
